MunicipioID;Nome;IBGE7;UFID;UF
1;Alta Floresta D'Oeste;1100015;1;RO
2;Alto Alegre dos Parecis;1100379;1;RO
3;Alto Paraíso;1100403;1;RO
4;Alvorada D'Oeste;1100346;1;RO
5;Ariquemes;1100023;1;RO
6;Buritis;1100452;1;RO
7;Cabixi;1100031;1;RO
8;Cacaulândia;1100601;1;RO
9;Cacoal;1100049;1;RO
10;Campo Novo de Rondônia;1100700;1;RO
11;Candeias do Jamari;1100809;1;RO
12;Castanheiras;1100908;1;RO
13;Cerejeiras;1100056;1;RO
14;Chupinguaia;1100924;1;RO
15;Colorado do Oeste;1100064;1;RO
16;Corumbiara;1100072;1;RO
17;Costa Marques;1100080;1;RO
18;Cujubim;1100940;1;RO
19;Espigão D'Oeste;1100098;1;RO
20;Governador Jorge Teixeira;1101005;1;RO
21;Guajará-Mirim;1100106;1;RO
22;Itapuã do Oeste;1101104;1;RO
23;Jaru;1100114;1;RO
24;Ji-Paraná;1100122;1;RO
25;Machadinho D'Oeste;1100130;1;RO
26;Ministro Andreazza;1101203;1;RO
27;Mirante da Serra;1101302;1;RO
28;Monte Negro;1101401;1;RO
29;Nova Brasilândia D'Oeste;1100148;1;RO
30;Nova Mamoré;1100338;1;RO
31;Nova União;1101435;1;RO
32;Novo Horizonte do Oeste;1100502;1;RO
33;Ouro Preto do Oeste;1100155;1;RO
34;Parecis;1101450;1;RO
35;Pimenta Bueno;1100189;1;RO
36;Pimenteiras do Oeste;1101468;1;RO
37;Porto Velho;1100205;1;RO
38;Presidente Médici;1100254;1;RO
39;Primavera de Rondônia;1101476;1;RO
40;Rio Crespo;1100262;1;RO
41;Rolim de Moura;1100288;1;RO
42;Santa Luzia D'Oeste;1100296;1;RO
43;São Felipe D'Oeste;1101484;1;RO
44;São Francisco do Guaporé;1101492;1;RO
45;São Miguel do Guaporé;1100320;1;RO
46;Seringueiras;1101500;1;RO
47;Teixeirópolis;1101559;1;RO
48;Theobroma;1101609;1;RO
49;Urupá;1101708;1;RO
50;Vale do Anari;1101757;1;RO
51;Vale do Paraíso;1101807;1;RO
52;Vilhena;1100304;1;RO
53;Acrelândia;1200013;2;AC
54;Assis Brasil;1200054;2;AC
55;Brasiléia;1200104;2;AC
56;Bujari;1200138;2;AC
57;Capixaba;1200179;2;AC
58;Cruzeiro do Sul;1200203;2;AC
59;Epitaciolândia;1200252;2;AC
60;Feijó;1200302;2;AC
61;Jordão;1200328;2;AC
62;Mâncio Lima;1200336;2;AC
63;Manoel Urbano;1200344;2;AC
64;Marechal Thaumaturgo;1200351;2;AC
65;Plácido de Castro;1200385;2;AC
66;Porto Acre;1200807;2;AC
67;Porto Walter;1200393;2;AC
68;Rio Branco;1200401;2;AC
69;Rodrigues Alves;1200427;2;AC
70;Santa Rosa do Purus;1200435;2;AC
71;Sena Madureira;1200500;2;AC
72;Senador Guiomard;1200450;2;AC
73;Tarauacá;1200609;2;AC
74;Xapuri;1200708;2;AC
75;Alvarães;1300029;3;AM
76;Amaturá;1300060;3;AM
77;Anamã;1300086;3;AM
78;Anori;1300102;3;AM
79;Apuí;1300144;3;AM
80;Atalaia do Norte;1300201;3;AM
81;Autazes;1300300;3;AM
82;Barcelos;1300409;3;AM
83;Barreirinha;1300508;3;AM
84;Benjamin Constant;1300607;3;AM
85;Beruri;1300631;3;AM
86;Boa Vista do Ramos;1300680;3;AM
87;Boca do Acre;1300706;3;AM
88;Borba;1300805;3;AM
89;Caapiranga;1300839;3;AM
90;Canutama;1300904;3;AM
91;Carauari;1301001;3;AM
92;Careiro;1301100;3;AM
93;Careiro da Várzea;1301159;3;AM
94;Coari;1301209;3;AM
95;Codajás;1301308;3;AM
96;Eirunepé;1301407;3;AM
97;Envira;1301506;3;AM
98;Fonte Boa;1301605;3;AM
99;Guajará;1301654;3;AM
100;Humaitá;1301704;3;AM
101;Ipixuna;1301803;3;AM
102;Iranduba;1301852;3;AM
103;Itacoatiara;1301902;3;AM
104;Itamarati;1301951;3;AM
105;Itapiranga;1302009;3;AM
106;Japurá;1302108;3;AM
107;Juruá;1302207;3;AM
108;Jutaí;1302306;3;AM
109;Lábrea;1302405;3;AM
110;Manacapuru;1302504;3;AM
111;Manaquiri;1302553;3;AM
112;Manaus;1302603;3;AM
113;Manicoré;1302702;3;AM
114;Maraã;1302801;3;AM
115;Maués;1302900;3;AM
116;Nhamundá;1303007;3;AM
117;Nova Olinda do Norte;1303106;3;AM
118;Novo Airão;1303205;3;AM
119;Novo Aripuanã;1303304;3;AM
120;Parintins;1303403;3;AM
121;Pauini;1303502;3;AM
122;Presidente Figueiredo;1303536;3;AM
123;Rio Preto da Eva;1303569;3;AM
124;Santa Isabel do Rio Negro;1303601;3;AM
125;Santo Antônio do Içá;1303700;3;AM
126;São Gabriel da Cachoeira;1303809;3;AM
127;São Paulo de Olivença;1303908;3;AM
128;São Sebastião do Uatumã;1303957;3;AM
129;Silves;1304005;3;AM
130;Tabatinga;1304062;3;AM
131;Tapauá;1304104;3;AM
132;Tefé;1304203;3;AM
133;Tonantins;1304237;3;AM
134;Uarini;1304260;3;AM
135;Urucará;1304302;3;AM
136;Urucurituba;1304401;3;AM
137;Alto Alegre;1400050;4;RR
138;Amajari;1400027;4;RR
139;Boa Vista;1400100;4;RR
140;Bonfim;1400159;4;RR
141;Cantá;1400175;4;RR
142;Caracaraí;1400209;4;RR
143;Caroebe;1400233;4;RR
144;Iracema;1400282;4;RR
